,pred_proba
0,0.2696401286586316
1,0.5127699769808433
2,0.4834525455374268
3,0.33186289023526866
4,0.21389594170419182
5,0.1748844532422279
6,0.5294444335180498
7,0.12799749619912928
8,0.37933132321169405
9,0.22845239183961505
10,0.33489602847260586
11,0.3120080470608773
12,0.42683963448867274
13,0.5433776690801612
14,0.3402871233611945
15,0.3565482079459066
16,0.4976888436518731
17,0.39935806433832655
18,0.4030453506390238
19,0.2801403292784035
20,0.2429133317389488
21,0.24412168051085223
22,0.7026781896977776
23,0.41570882749957616
24,0.25331022619384963
25,0.18737915877591146
26,0.5147046787910894
27,0.7556179110397848
28,0.17189778371739634
29,0.6181238866699469
30,0.2904425752150046
31,0.7019173311102817
32,0.25218517274289665
33,0.22138411879804684
34,0.4819567500816076
35,0.4844307367797208
36,0.6281353703267815
37,0.38724086722782897
38,0.23056842721783752
39,0.5854795510503193
40,0.351761959882951
41,0.35017479064067286
42,0.3816432550402727
43,0.19646023916310956
44,0.3643296413562787
45,0.417467041185969
46,0.49314347932156544
47,0.3118629568270093
48,0.25685652946301935
49,0.28902469510444195
50,0.2786616465786561
51,0.5657928713028672
52,0.5944515558631821
53,0.6564976716875622
54,0.7407082347682441
55,0.4144405663806897
56,0.29530942783720004
57,0.4010005193792411
58,0.34613698186895003
59,0.6260653542079703
60,0.3571966571919232
61,0.5214737812715456
62,0.590820082063148
63,0.36541362215106044
64,0.35881230641445355
65,0.27362789078519206
66,0.13998271824711384
67,0.4770862407932894
68,0.6375443901497757
69,0.5227248348199738
70,0.4981294827417361
71,0.4875326685001487
72,0.7619499550630047
73,0.13920302660956146
74,0.7225354822339389
75,0.6688131131269992
76,0.24214896301330432
77,0.5489152009280377
78,0.17831233722990342
79,0.4343049594563261
80,0.4575053200792749
81,0.2742369934602017
82,0.7860337325448353
83,0.1552068203999168
84,0.35015541358068464
85,0.531715731555979
86,0.4172731087616004
87,0.3567344116969003
88,0.20051094062782318
89,0.1919442606173559
90,0.6830984792621388
91,0.4132372042702929
92,0.39419731762252874
93,0.19843426767983655
94,0.28713903136650226
95,0.5105768282012516
96,0.48402677313127507
97,0.4244345043230584
98,0.5702337831087144
99,0.42129123784512684
100,0.4830350160919994
101,0.2886770824587865
102,0.7926753406939422
103,0.45063309700281945
104,0.23807929475731035
105,0.2981112389945475
106,0.49557825931752136
107,0.3975182277588916
108,0.24467489170769718
109,0.24070476742474484
110,0.5764778033720829
111,0.5290890460365631
112,0.43994854389322474
113,0.20720558561254562
114,0.49529083910621335
115,0.23648504872539647
116,0.2810709086587823
117,0.493259599181899
118,0.509294524358339
119,0.7283397135051076
120,0.4317342228568095
121,0.15337019607907468
122,0.3292636310805585
123,0.30435906841867993
124,0.15156180920019022
125,0.18258353967758698
126,0.27345982827050963
127,0.46535090880392666
128,0.2434472011722951
129,0.42264641819072707
130,0.331557018464592
131,0.20589324407435847
132,0.20280458084718186
133,0.44768301141818834
134,0.47040811413801115
135,0.30409150461032775
136,0.22720012962339098
137,0.5862386459720736
138,0.5205098787362766
139,0.2794549289599949
140,0.4377346489648312
141,0.6000048960514158
142,0.46757774893636017
143,0.5348475891810303
144,0.5014181236031958
145,0.3613987291277944
146,0.3143432520627618
147,0.4334843254530087
148,0.3916726997950834
149,0.5075279208064938
150,0.3646658072967156
151,0.7143479011146304
152,0.6356283491579536
153,0.29609820940888115
154,0.37993335085318686
155,0.3461301046454987
156,0.34790996611617686
157,0.3866978616899064
158,0.5488034077867119
159,0.42621349459743735
160,0.613946390113003
161,0.6240342871131329
162,0.4208119949246632
163,0.6237749375143352
164,0.628550006960697
165,0.2916944522960808
166,0.15742111732777345
167,0.3041716491450043
168,0.5745384457528473
169,0.1754921326329021
170,0.350113693246132
171,0.25944410506945154
172,0.41207234115178826
173,0.5864341300675178
174,0.24526386943201484
175,0.48791233338972745
176,0.3144395445091718
177,0.24149819339027218
178,0.4366183939600401
179,0.2158238834064112
180,0.614642969840543
181,0.19949930321723933
182,0.1798305895910197
183,0.2489178149528786
184,0.2839079357133397
185,0.19886749994850322
186,0.5363391807058802
187,0.31443475554687206
188,0.3942422600507256
189,0.6886086788413727
190,0.17366023618983678
191,0.45449597002976216
192,0.7065161622332786
193,0.33585172547263686
194,0.29571208795024767
195,0.2708477379230553
196,0.5967107189538182
197,0.3370698699457692
198,0.19351270132595516
199,0.3656036387442765
200,0.3996896159177983
201,0.4720910566370298
202,0.4166503736646272
203,0.8284900469682616
204,0.5070795844521205
205,0.4755733745566614
206,0.6099008240854231
207,0.5469059009154129
208,0.49290206130834974
209,0.2656242582695746
210,0.7905794554740346
211,0.24819269023455215
212,0.48802212155505287
213,0.3904534331998657
214,0.45867624441214055
215,0.46873995559671194
216,0.2062941986896677
217,0.24603204648026286
218,0.24534730378755346
219,0.6877729927473717
220,0.2802108625677399
221,0.47828695707443314
222,0.35132811376236583
223,0.24181659762924151
224,0.5345721740714363
225,0.7308397990666894
226,0.40649585487650175
227,0.26987492304122035
228,0.8100764769975298
229,0.13734341311747877
230,0.6807024656411332
231,0.6797282484741651
232,0.11245360014539953
233,0.2139742871697094
234,0.3226502590332958
235,0.4907505183889281
236,0.6942591416799758
237,0.3272634737609166
238,0.5833559342917426
239,0.18179791011605068
240,0.37328331271698445
241,0.31053564749895646
242,0.46709652774363236
